ID,Label,Pred
Active_4,1,0.0047421342059940285
Active_9,1,0.004517498148353512
Active_13,1,0.004225729360186551
Active_23,1,0.00616560982170307
Active_25,1,0.004898966265547574
Active_36,1,0.0040991533839050244
Active_38,1,0.004099149568668659
Active_43,1,0.004099154359514
Ligand_10,0,0.004100264680751061
Ligand_13,0,0.004100123007424806
Ligand_17,0,0.004100231690353884
Ligand_18,0,0.004101085836437792
Ligand_19,0,0.004149234941837289
Ligand_35,0,0.0041126999313238245
Ligand_36,0,0.004108868212538532
Ligand_56,0,0.004102067439499199
Ligand_59,0,0.004105516119132681
Ligand_70,0,0.004114941767143429
Ligand_86,0,0.004186420314998929
Ligand_87,0,0.004099438426248129
Ligand_94,0,0.004100499910666756
Ligand_126,0,0.004102408406967101
Ligand_132,0,0.004138145309016666
Ligand_135,0,0.0040994938477315526
Ligand_172,0,0.00409977879507603
Ligand_175,0,0.004100292493997823
Ligand_190,0,0.004101324051583251
Ligand_193,0,0.004103775991686659
Ligand_197,0,0.004099601839859941
Ligand_203,0,0.0041042634182147245
Ligand_206,0,0.004290699458513736
Ligand_207,0,0.004100839806031952
Ligand_210,0,0.004100390474314377
Ligand_230,0,0.004144936972379954
Ligand_237,0,0.004101019834589507
Ligand_240,0,0.004123578364160873
Ligand_259,0,0.004099678405331413
Ligand_262,0,0.004107791612630986
Ligand_273,0,0.004102454639288681
Ligand_275,0,0.004100509287298802
Ligand_277,0,0.004099415512909884
Ligand_280,0,0.0040994984559491665
Ligand_281,0,0.00410754239343791
Ligand_296,0,0.004101187477003209
Ligand_299,0,0.004193515487900834
Ligand_300,0,0.004099323954477929
Ligand_310,0,0.004102133463499486
Ligand_326,0,0.004112863875947055
Ligand_342,0,0.004099376447987613
Ligand_347,0,0.00411581459091975
Ligand_357,0,0.0040992023552819555
Ligand_362,0,0.004167152775465843
Ligand_371,0,0.0040997084012288475
Ligand_380,0,0.004107571013761584
Ligand_385,0,0.004121167774961489
Ligand_399,0,0.004193953698470863
Ligand_430,0,0.004155337364303225
Ligand_431,0,0.004099477344780644
Ligand_432,0,0.004376977598410078
Ligand_434,0,0.00410232205443567
Ligand_440,0,0.004102325419541165
Ligand_455,0,0.004159447901118983
Ligand_476,0,0.0042352208104298765
Ligand_482,0,0.004102203418224918
Ligand_504,0,0.004099357953878485
Ligand_515,0,0.004104872733656414
Ligand_526,0,0.004107717382114881
Ligand_537,0,0.004103709440575689
Ligand_543,0,0.004099326906349787
Ligand_612,0,0.004101311149580688
Ligand_620,0,0.00410282357614183
Ligand_628,0,0.004106282783507762
Ligand_632,0,0.0041370596231352945
Ligand_640,0,0.004100673599079817
Ligand_642,0,0.004119751407151639
Ligand_657,0,0.004099244245141584
Ligand_666,0,0.004099360944292248
Ligand_667,0,0.004110527874379563
Ligand_669,0,0.004100319689114982
Ligand_679,0,0.004100241384200426
Ligand_693,0,0.0041987718188493395
Ligand_694,0,0.004114194671923739
Ligand_700,0,0.0041141189569261424
Ligand_702,0,0.004113276550629231
Ligand_708,0,0.004099950050427274
Ligand_721,0,0.004154190325948372
Ligand_730,0,0.004099375856896815
Ligand_735,0,0.004100876696735503
Ligand_768,0,0.004099514898070809
Ligand_788,0,0.0041067482887717065
Ligand_791,0,0.004195368555302171
Ligand_792,0,0.00410754780244404
Ligand_793,0,0.004099194198810034
Ligand_801,0,0.0041059968428690235
Ligand_804,0,0.004100013248490674
Ligand_806,0,0.004100412687056573
Ligand_811,0,0.004133870217733687
Ligand_821,0,0.0041152477485514385
Ligand_828,0,0.0041043160474630875
Ligand_852,0,0.004100396451632009
Ligand_865,0,0.004101694551141089
Ligand_867,0,0.00410001822371944
Ligand_881,0,0.004099369217313733
Ligand_885,0,0.00410452956694222
Ligand_897,0,0.004099411098368001
Ligand_900,0,0.004100096880813777
Ligand_915,0,0.004100787150101715
Ligand_930,0,0.004099663286624586
Ligand_933,0,0.004106925540429479
Ligand_940,0,0.004114129434332551
Ligand_959,0,0.00410898059923984
Ligand_984,0,0.004103375045586361
Ligand_986,0,0.0041017737866743285
Ligand_988,0,0.004099226660488208
Ligand_998,0,0.004105147630684263
Ligand_1015,0,0.004111881377160705
Ligand_1037,0,0.004099403757838644
Ligand_1039,0,0.004104707489953643
Ligand_1067,0,0.004101717252726442
Ligand_1090,0,0.004106413045045193
Ligand_1102,0,0.004129683505230944
Ligand_1111,0,0.004175496871229152
Ligand_1112,0,0.00426059231508482
Ligand_1113,0,0.011754011735998557
Ligand_1123,0,0.004104261248208998
Ligand_1139,0,0.004118766203733612
Ligand_1140,0,0.00410049186312532
Ligand_1141,0,0.004099877242202147
Ligand_1152,0,0.004101967148549452
Ligand_1157,0,0.0041012819628350366
Ligand_1162,0,0.004102318398586291
Ligand_1180,0,0.004101497063976208
